"ID del Proceso","Nombre del Procedimiento","Descripción del Procedimiento","Estado del Procedimiento","URLProceso","Entidad","Nit Entidad","Nombre de la Unidad de Contratación","Nombre del Proveedor Adjudicado","Modalidad de Contratacion","Justificación Modalidad de Contratación","Tipo de Contrato","Precio Base","Valor Total Adjudicacion","Duracion","Unidad de Duracion","Proveedores que Manifestaron Interes","Conteo de Respuestas a Ofertas","Fecha de Publicacion del Proceso","Fecha de Apertura Efectiva","Fecha Adjudicacion"
"CO1.REQ.8444376","Adquirir equipo de fotografía; grabación y/o edición con destino a la Rama Judicial - Nivel Central","Adquirir equipo de fotografía, grabación y/o edición con destino a la Rama Judicial - Nivel Central.","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8317175","Rama Judicial Dirección Ejecutiva de Administración Judicial","800093816","DEAJ","TECNO OUTLET S.A.S","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$342.302.742","$341.901.680","3","Mes(es)","0","1","06/19/2025","07/28/2025","08/08/2025"
"CO1.REQ.8144895","SUMINISTRO DE INSUMOS QUÍMICOS; HERRAMIENTAS Y EQUIPOS PARA MANTENIMIENTO PISCINA OLIMPICA","SUMINISTRO DE INSUMOS QUÍMICOS, HERRAMIENTAS Y EQUIPOS NECESARIOS PARA EL MANTENIMIENTO DE LA PISCINA OLIMPICA LOS COMUNEROS UBICADA EN EL BARRIO EL PORVENIR DEL MUNICIPIO DE RIONEGRO","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8020758","IMER","890985523","Grupo compuesto por la gerencia y juridica","INVERSIONES Y SUMINISTROS RL S.A.S.","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Suministros","$170.000.000","$1.095.283","9","Mes(es)","0","1","04/21/2025","05/07/2025","05/08/2025"
"CO1.REQ.9357110","Adquisición de mobiliario y elementos para dotación UAE Cuerpo Oficial de Bomberos Bogotá","Adquisición de mobiliario y elementos para la dotación de las instalaciones de la UAE Cuerpo Oficial de Bomberos Bogotá- SGC","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9215808","UNIDAD ADMINISTRATIVA ESPECIAL CUERPO OFICIAL DE BOMBEROS DE BOGOTA","899999061","OFICINA JURÍDICA","DICY COMMERCE SAS","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$1.323.596.643","$60.392.500","2","Mes(es)","0","1","11/28/2025","12/18/2025","12/19/2025"
"CO1.REQ.9121223","Realizar suministro de bienes y servicios para operación estaciones acuicultura AUNAP","Realizar el suministro de bienes y servicios necesarios para la operación de las estaciones de acuicultura a cargo de la AUNAP en los municipios de Gigante- Huila, Repelón- Atlántico y Buenaventura - Valle","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8993515","AUNAP","900479669","Grupo Gestión Contractual","E-CULTURE INTERNATIONAL S.A.S.","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Suministros","$391.511.113","$387.596.102","0","día(s)","0","1","10/23/2025","11/21/2025","11/21/2025"
"CO1.REQ.9027100","ADQUISICIÓN DE EQUIPOS PARA CONTROL CONDICIONES AMBIENTALES LABORATORIO SALUD PÚBLICA","ADQUISICIÓN DE EQUIPOS PARA EL CONTROL DE CONDICIONES AMBIENTALES Y PARA EL DESARROLLO DE PROCESAMIENTO ANALÍTICO DE LAS MUESTRAS REMITIDAS A LA SUBDIRECCIÓN DE LABORATORIO DE SALUD PÚBLICA DE LA SECRETARÍA DISTRITAL DE SALUD","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8892584","FONDO FINANCIERO DISTRITAL DE SALUD","8002469532","SUBDIRECCION DE CONTRATACIÓN","UNIÓN TEMPORAL KASSEL POLCO FFDS-SASI-015-2025","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$4.226.823.262","$27.730.000","48","día(s)","0","1","10/03/2025","11/06/2025","11/28/2025"
"CO1.REQ.9269285","ADQUISICIÓN DE MATERIALES Y SUMINISTROS DE PRODUCCIÓN INTENDENCIA MILITAR","ADQUISICIÓN DE MATERIALES Y SUMINISTROS DE PRODUCCIÓN, DESAGREGADOS EN LOTE 1- QUÍMICOS Y COMPUESTOS, LOTE 2- EMPAQUE Y ROTULADO, LOTE 3- HERRAJES, DESTINADOS A LA ELABORACIÓN DE MATERIAL DE INTENDENCIA Y CAMPAÑA PARA EL BATALLÓN DE INTENDENCIA No. 1  LAS JUANAS","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9139824","CENTRAL ADMINISTRATIVA Y CONTABLE PUENTE ARANDA","830039548","OFICINA DE CONTRATOS","SUPREX SAS","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$6.519.555.084","$1.134.801.846","0","día(s)","0","1","11/15/2025","12/10/2025","12/12/2025"
"CO1.REQ.9329770","Adquisición de máquinas producción material accesible imprenta Instituto Nacional Ciegos","Adquisición de cuatro (04) máquinas para la producción de material accesible en la imprenta del Instituto Nacional para Ciegos","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9199942","INSTITUTO NACIONAL PARA CIEGOS","860015971","Gestión Contractual","QUALITY GROUP SERVICES","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$390.897.616","$265.246.000","40","día(s)","0","1","11/26/2025","12/12/2025","12/15/2025"
"CO1.REQ.8365738","Componente de desarrollo PDF - IText","Adquisición de la suscripción del derecho al uso de la licencia iText para PDF, incluido soporte técnico.","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8247672","SUPERINTENDENCIA FINANCIERA DE COLOMBIA","890999057","Grupo de Contratos","SOUTH AMERICA SOFTWARE COMPANY SAS","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$155.333.334","$152.072.480","15","día(s)","0","1","06/05/2025","07/07/2025","07/10/2025"
"CO1.REQ.8276161","SUMINISTRO MONTO AGOTABLE MATERIALES FORMACION 2025 CFC","SUMINISTRO POR MONTO AGOTABLE CON PRECIOS UNITARIOS FIJOS DE MATERIALES DE FORMACIÓN PARA LA ORIENTACION DE LOS PROGRAMAS TITULADOS EN EL CENTRO PARA LA FORMACIÓN CAFETERA DEL SENA REGIONAL CALDAS","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8150950","SENA REGIONAL CALDAS CENTRO PARA LA FORMACION CAFETERA","899999034","UNIDAD DE CONTRATACION CFC","MARQUEZ ASOCIADOS S.A.S.","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Suministros","$886.610.956","$12.332.500","180","día(s)","0","1","05/16/2025","06/11/2025","06/17/2025"
"CO1.REQ.8383987","MATERIALES DE FORMACION CASA 2025","Suministro de materiales de formación, bienes de consumo y otros insumos, necesarios para atender las áreas de Formación Profesional Integral en los diferentes programas del Centro Atención Sector Agropecuario, de la Regional Risaralda, para la vigencia 2025","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8261547","SENA REGIONAL RISARALDA Grupo de Apoyo Administrativo Mixto","899999034","CENTRO ATENCIÓN SECTOR AGROPECUARIO","EQUISUMINISTROS Y CONSTRUCCIONES SAS","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Suministros","$784.643.082","$25.179.493","0","día(s)","0","1","06/09/2025","06/19/2025","06/25/2025"
